Location,Year,Number,Population,Rate
Marshall Island,2013,NR,0,NR
Marshall Island,2014,NR,0,NR
Marshall Island,2015,NR,0,NR
Marshall Island,2016,NR,0,NR
Marshall Island,2017,NR,0,NR
Marshall Island,2018,NR,0,NR
Marshfield,2008,NR,500,NR
Marshfield,2010,NR,518,NR
Masardis,2008,NR,254,NR
Masardis,2009,NR,252,NR
Masardis,2010,NR,249,NR
Masardis,2011,NR,250,NR
Masardis,2012,NR,245,NR
Masardis,2013,NR,239,NR
Masardis,2015,NR,232,NR
Mattawamkeag,2009,NR,734,NR
Maxfield,2009,NR,92,NR
Mechanic Falls,2017,NR,"3,038",NR
Meddybemps,2008,NR,147,NR
Meddybemps,2010,NR,157,NR
Medford,2008,NR,231,NR
Medford,2009,NR,246,NR
Medford,2010,NR,254,NR
Medford,2011,NR,257,NR
Medford,2012,NR,252,NR
Medford,2013,NR,249,NR
Medford,2014,NR,250,NR
Medford,2015,NR,250,NR
Medway,2009,NR,"1,425",NR
Merrill,2008,NR,256,NR
Merrill,2009,NR,268,NR
Merrill,2010,NR,273,NR
Merrill,2011,NR,276,NR
Merrill,2012,NR,274,NR
Merrill,2013,NR,267,NR
Merrill,2015,NR,264,NR
Milbridge,2008,NR,"1,299",NR
Milbridge,2010,NR,"1,353",NR
Milford,2009,NR,"3,067",NR
Millinocket,2009,NR,"4,548",NR
Milo,2008,NR,"2,353",NR
Milo,2009,NR,"2,363",NR
Milo,2010,NR,"2,340",NR
Milo,2011,NR,"2,335",NR
Milo,2012,NR,"2,329",NR
Milo,2013,NR,"2,293",NR
Milo,2014,NR,"2,276",NR
Milo,2015,NR,"2,273",NR
Monson,2008,NR,651,NR
Monson,2009,NR,676,NR
Monson,2010,NR,686,NR
Monson,2011,NR,685,NR
Monson,2012,NR,687,NR
Monson,2013,NR,680,NR
Monson,2014,NR,679,NR
Monson,2015,NR,668,NR
Monticello,2008,NR,818,NR
Monticello,2009,NR,807,NR
Monticello,2010,NR,790,NR
Monticello,2011,NR,793,NR
Monticello,2012,NR,779,NR
Monticello,2013,NR,768,NR
Monticello,2015,NR,766,NR
Moro Plt,2008,NR,66,NR
Moro Plt,2009,NR,50,NR
Moro Plt,2010,NR,38,NR
Moro Plt,2011,NR,37,NR
Moro Plt,2012,NR,37,NR
Moro Plt,2013,NR,36,NR
Moro Plt,2014,NR,34,NR
Moro Plt,2015,NR,34,NR
Moro Plt,2016,NR,34,NR
Moro Plt,2017,NR,34,NR
Moro Plt,2018,NR,34,NR
Mount Chase,2009,NR,218,NR
Muscle Ridge Islands,2008,NR,0,NR
Muscle Ridge Islands,2009,NR,5,NR
Muscle Ridge Islands,2010,NR,6,NR
Muscle Ridge Islands,2011,NR,6,NR
Muscle Ridge Islands,2012,NR,6,NR
Muscle Ridge Islands,2013,NR,6,NR
Muscle Ridge Islands,2014,NR,6,NR
Muscle Ridge Islands,2015,NR,6,NR
Muscle Ridge Islands,2016,NR,6,NR
Muscle Ridge Islands,2017,NR,6,NR
Muscle Ridge Islands,2018,NR,6,NR
Nashville Plt,2008,NR,50,NR
Nashville Plt,2009,NR,48,NR
Nashville Plt,2010,NR,46,NR
Nashville Plt,2011,NR,50,NR
Nashville Plt,2012,NR,49,NR
Nashville Plt,2013,NR,48,NR
Nashville Plt,2014,NR,47,NR
Nashville Plt,2015,NR,46,NR
Nashville Plt,2016,NR,45,NR
Nashville Plt,2017,NR,45,NR
Nashville Plt,2018,NR,45,NR
New Canada,2008,NR,303,NR
New Canada,2009,NR,315,NR
New Canada,2010,NR,321,NR
New Canada,2011,NR,341,NR
New Canada,2012,NR,337,NR
New Canada,2013,NR,329,NR
New Canada,2015,NR,324,NR
New Limerick,2008,NR,514,NR
New Limerick,2009,NR,515,NR
New Limerick,2010,NR,510,NR
New Limerick,2011,NR,515,NR
New Limerick,2012,NR,502,NR
New Limerick,2013,NR,492,NR
New Limerick,2015,NR,485,NR
New Sweden,2008,NR,600,NR
New Sweden,2009,NR,604,NR
New Sweden,2010,NR,602,NR
New Sweden,2011,NR,622,NR
New Sweden,2012,NR,622,NR
New Sweden,2013,NR,608,NR
New Sweden,2015,NR,595,NR
Newburgh,2009,NR,"1,553",NR
Newport,2009,NR,"3,248",NR
North Franklin,2008,NR,43,NR
North Haven,2013,NR,359,NR
North Oxford,2008,NR,19,NR
North Oxford,2009,NR,22,NR
North Oxford,2010,NR,24,NR
North Oxford,2011,NR,24,NR
North Oxford,2012,NR,24,NR
North Oxford,2013,NR,24,NR
North Oxford,2014,NR,23,NR
North Oxford,2015,NR,21,NR
North Oxford,2016,NR,22,NR
North Oxford,2017,NR,22,NR
North Oxford,2018,NR,22,NR
North Penobscot,2009,NR,456,NR
North Washington,2008,NR,512,NR
North Washington,2010,NR,499,NR
Northeast Piscataquis,2008,NR,333,NR
Northeast Piscataquis,2009,NR,301,NR
Northeast Piscataquis,2010,NR,273,NR
Northeast Piscataquis,2011,NR,269,NR
Northeast Piscataquis,2012,NR,268,NR
Northeast Piscataquis,2013,NR,268,NR
Northeast Piscataquis,2014,NR,267,NR
Northeast Piscataquis,2015,NR,267,NR
Northfield,2008,NR,125,NR
Northfield,2010,NR,148,NR
Northwest Aroostook,2008,NR,23,NR
Northwest Aroostook,2009,NR,18,NR
Northwest Aroostook,2010,NR,10,NR
Northwest Aroostook,2011,NR,11,NR
Northwest Aroostook,2012,NR,10,NR
Northwest Aroostook,2013,NR,10,NR
Northwest Aroostook,2014,NR,10,NR
Northwest Aroostook,2015,NR,10,NR
Northwest Aroostook,2016,NR,10,NR
Northwest Aroostook,2017,NR,10,NR
Northwest Aroostook,2018,NR,10,NR
Northwest Piscataquis,2008,NR,156,NR
Northwest Piscataquis,2009,NR,152,NR
Northwest Piscataquis,2010,NR,147,NR
Northwest Piscataquis,2011,NR,146,NR
Northwest Piscataquis,2012,NR,145,NR
Northwest Piscataquis,2013,NR,146,NR
Northwest Piscataquis,2014,NR,147,NR
Northwest Piscataquis,2015,NR,146,NR
Northwest Somerset,2008,NR,45,NR
Oakfield,2008,NR,667,NR
Oakfield,2009,NR,711,NR
Oakfield,2010,NR,737,NR
Oakfield,2011,NR,751,NR
Oakfield,2012,NR,734,NR
Oakfield,2013,NR,718,NR
Oakfield,2015,NR,717,NR
Old Orchard Beach,2015,NR,"8,632",NR
Old Town,2009,NR,"7,851",NR
Orient,2008,NR,130,NR
Orient,2009,NR,141,NR
Orient,2010,NR,147,NR
Orient,2011,NR,155,NR
Orient,2012,NR,152,NR
Orient,2013,NR,149,NR
Orient,2015,NR,146,NR
Orneville Twp,2008,NR,260,NR
Orneville Twp,2009,NR,258,NR
Orneville Twp,2010,NR,253,NR
Orneville Twp,2011,NR,256,NR
Orneville Twp,2012,NR,250,NR
Orneville Twp,2013,NR,250,NR
Orneville Twp,2014,NR,246,NR
Orneville Twp,2015,NR,244,NR
Orono,2009,NR,"10,307",NR
Orrington,2009,NR,"3,779",NR
Oxbow Plt,2008,NR,55,NR
Oxbow Plt,2009,NR,61,NR
Oxbow Plt,2010,NR,66,NR
Oxbow Plt,2011,NR,70,NR
Oxbow Plt,2012,NR,70,NR
Oxbow Plt,2013,NR,68,NR
Oxbow Plt,2015,NR,67,NR
Parkman,2008,NR,817,NR
Parkman,2009,NR,838,NR
Parkman,2010,NR,843,NR
Parkman,2011,NR,843,NR
Parkman,2012,NR,852,NR
Parkman,2013,NR,849,NR
Parkman,2014,NR,856,NR
Parkman,2015,NR,847,NR
Passadumkeag,2009,NR,403,NR
Patten,2009,NR,"1,034",NR
Pembroke,2008,NR,819,NR
Pembroke,2010,NR,840,NR
Penobscot Indian Island,2008,NR,0,NR
Penobscot Indian Island,2009,NR,0,NR
Penobscot Indian Island,2010,NR,0,NR
Penobscot Indian Island,2011,NR,0,NR
Penobscot Indian Island,2012,NR,0,NR
Penobscot Indian Island,2014,NR,0,NR
Penobscot Indian Island,2015,NR,0,NR
Penobscot Indian Island,2016,NR,0,NR
Penobscot Indian Island,2017,NR,0,NR
Penobscot Indian Island,2018,NR,0,NR
Perham,2008,NR,425,NR
Perham,2009,NR,405,NR
Perham,2010,NR,386,NR
Perham,2011,NR,373,NR
Perham,2012,NR,368,NR
Perham,2013,NR,356,NR
Perham,2015,NR,350,NR
Perkins Twp Swan Island,2008,NR,0,NR
Perkins Twp Swan Island,2009,NR,0,NR
Perkins Twp Swan Island,2010,NR,0,NR
Perkins Twp Swan Island,2011,NR,0,NR
Perkins Twp Swan Island,2012,NR,0,NR
Perkins Twp Swan Island,2013,NR,0,NR
Perkins Twp Swan Island,2014,NR,0,NR
Perkins Twp Swan Island,2015,NR,0,NR
Perkins Twp Swan Island,2016,NR,0,NR
Perkins Twp Swan Island,2017,NR,0,NR
Perkins Twp Swan Island,2018,NR,0,NR
Perry,2008,NR,916,NR
Perry,2010,NR,889,NR
Pleasant Point,2008,NR,600,NR
Pleasant Point,2010,NR,749,NR
Plymouth,2009,NR,"1,388",NR
Portage Lake,2008,NR,360,NR
Portage Lake,2009,NR,380,NR
Portage Lake,2010,NR,391,NR
Portage Lake,2011,NR,416,NR
Portage Lake,2012,NR,407,NR
Portage Lake,2013,NR,397,NR
Portage Lake,2015,NR,379,NR
Prentiss Twp T7 R3 NBPP,2009,NR,215,NR
Presque Isle,2008,NR,"9,241",NR
Presque Isle,2009,NR,"9,553",NR
Presque Isle,2010,NR,"9,692",NR
Presque Isle,2011,NR,"9,481",NR
Presque Isle,2012,NR,"9,505",NR
Presque Isle,2013,NR,"9,432",NR
Presque Isle,2015,NR,"9,194",NR
Princeton,2008,NR,820,NR
Princeton,2010,NR,832,NR
Pukakon Twp,2008,NR,0,NR
Pukakon Twp,2009,NR,5,NR
Pukakon Twp,2010,NR,5,NR
Pukakon Twp,2011,NR,5,NR
Pukakon Twp,2012,NR,5,NR
Pukakon Twp,2013,NR,5,NR
Pukakon Twp,2014,NR,5,NR
Pukakon Twp,2015,NR,5,NR
Pukakon Twp,2016,NR,5,NR
Pukakon Twp,2017,NR,5,NR
Pukakon Twp,2018,NR,5,NR
Reed Plt,2008,NR,191,NR
Reed Plt,2009,NR,175,NR
Reed Plt,2010,NR,161,NR
Reed Plt,2011,NR,162,NR
Reed Plt,2012,NR,159,NR
Reed Plt,2013,NR,153,NR
Reed Plt,2015,NR,148,NR
Robbinston,2008,NR,503,NR
Robbinston,2010,NR,574,NR
Roque Bluffs,2008,NR,266,NR
Roque Bluffs,2010,NR,303,NR
Saint Agatha,2008,NR,786,NR
Saint Agatha,2009,NR,768,NR
Saint Agatha,2010,NR,747,NR
Saint Agatha,2011,NR,730,NR
Saint Agatha,2012,NR,726,NR
Saint Agatha,2013,NR,729,NR
Saint Agatha,2015,NR,713,NR
Saint Francis,2008,NR,542,NR
Saint Francis,2009,NR,512,NR
Saint Francis,2010,NR,485,NR
Saint Francis,2011,NR,516,NR
Saint Francis,2012,NR,506,NR
Saint Francis,2013,NR,496,NR
Saint Francis,2015,NR,492,NR
Saint John Plt,2008,NR,259,NR
Saint John Plt,2009,NR,265,NR
Saint John Plt,2010,NR,267,NR
Saint John Plt,2011,NR,283,NR
Saint John Plt,2012,NR,276,NR
Saint John Plt,2013,NR,271,NR
Saint John Plt,2015,NR,269,NR
Sangerville,2008,NR,"1,277",NR
Sangerville,2009,NR,"1,325",NR
Sangerville,2010,NR,"1,343",NR
Sangerville,2011,NR,"1,312",NR
Sangerville,2012,NR,"1,311",NR
Sangerville,2013,NR,"1,302",NR
Sangerville,2014,NR,"1,281",NR
Sangerville,2015,NR,"1,281",NR
Sebec,2008,NR,590,NR
Sebec,2009,NR,618,NR
Sebec,2010,NR,630,NR
Sebec,2011,NR,631,NR
Sebec,2012,NR,616,NR
Sebec,2013,NR,607,NR
Sebec,2014,NR,602,NR
Sebec,2015,NR,603,NR
Seboeis Plt,2008,NR,43,NR
Seboeis Plt,2009,NR,38,NR
Seboeis Plt,2010,NR,35,NR
Seboeis Plt,2011,NR,37,NR
Seboeis Plt,2012,NR,35,NR
Seboeis Plt,2013,NR,36,NR
Seboeis Plt,2014,NR,36,NR
Seboeis Plt,2015,NR,36,NR
Seboeis Plt,2016,NR,38,NR
Seboeis Plt,2017,NR,38,NR
Seboeis Plt,2018,NR,38,NR
Seboomook Lake,2008,NR,39,NR
Seboomook Lake,2009,NR,44,NR
Seboomook Lake,2010,NR,48,NR
Seboomook Lake,2011,NR,48,NR
Seboomook Lake,2012,NR,47,NR
Seboomook Lake,2013,NR,46,NR
Seboomook Lake,2014,NR,45,NR
Seboomook Lake,2015,NR,45,NR
Seboomook Lake,2016,NR,46,NR
Seboomook Lake,2017,NR,46,NR
Seboomook Lake,2018,NR,46,NR
Sherman,2008,NR,858,NR
Sherman,2009,NR,857,NR
Sherman,2010,NR,848,NR
Sherman,2011,NR,864,NR
Sherman,2012,NR,851,NR
Sherman,2013,NR,837,NR
Sherman,2015,NR,827,NR
Shirley,2008,NR,185,NR
Shirley,2009,NR,214,NR
Shirley,2010,NR,233,NR
Shirley,2011,NR,229,NR
Shirley,2012,NR,227,NR
Shirley,2013,NR,224,NR
Shirley,2014,NR,221,NR
Shirley,2015,NR,220,NR
Smyrna,2008,NR,471,NR
Smyrna,2009,NR,457,NR
Smyrna,2010,NR,442,NR
Smyrna,2011,NR,458,NR
Smyrna,2012,NR,458,NR
Smyrna,2013,NR,456,NR
Smyrna,2015,NR,457,NR
South Aroostook,2008,NR,457,NR
South Aroostook,2009,NR,418,NR
South Aroostook,2010,NR,386,NR
South Aroostook,2011,NR,398,NR
South Aroostook,2012,NR,386,NR
South Aroostook,2013,NR,378,NR
South Aroostook,2015,NR,371,NR
Springfield,2009,NR,399,NR
Square Lake,2008,NR,570,NR
Square Lake,2009,NR,587,NR
Square Lake,2010,NR,594,NR
Square Lake,2011,NR,608,NR
Square Lake,2012,NR,617,NR
Square Lake,2013,NR,601,NR
Square Lake,2015,NR,582,NR
Stacyville,2009,NR,400,NR
Stetson,2009,NR,"1,191",NR
Steuben,2008,NR,"1,185",NR
Steuben,2010,NR,"1,131",NR
Stockholm,2008,NR,229,NR
Stockholm,2009,NR,244,NR
Stockholm,2010,NR,253,NR
Stockholm,2011,NR,264,NR
Stockholm,2012,NR,262,NR
Stockholm,2013,NR,254,NR
Stockholm,2015,NR,244,NR
T3 R1 NBPP,2008,NR,2,NR
T3 R1 NBPP,2009,NR,0,NR
T3 R1 NBPP,2010,NR,0,NR
T3 R1 NBPP,2011,NR,0,NR
T3 R1 NBPP,2012,NR,0,NR
T3 R1 NBPP,2013,NR,0,NR
T3 R1 NBPP,2014,NR,0,NR
T3 R1 NBPP,2015,NR,0,NR
T3 R1 NBPP,2016,NR,0,NR
T3 R1 NBPP,2017,NR,0,NR
T3 R1 NBPP,2018,NR,0,NR
T32 MD BPP,2008,NR,4,NR
T32 MD BPP,2009,NR,4,NR
T32 MD BPP,2010,NR,2,NR
T32 MD BPP,2011,NR,2,NR
T32 MD BPP,2012,NR,2,NR
T32 MD BPP,2013,NR,2,NR
T32 MD BPP,2014,NR,2,NR
T32 MD BPP,2015,NR,2,NR
T32 MD BPP,2016,NR,2,NR
T32 MD BPP,2017,NR,2,NR
T32 MD BPP,2018,NR,2,NR
Talmadge,2008,NR,62,NR
Talmadge,2010,NR,64,NR
The Forks Plt,2008,NR,34,NR
The Forks Plt,2009,NR,36,NR
The Forks Plt,2010,NR,37,NR
The Forks Plt,2011,NR,38,NR
The Forks Plt,2012,NR,38,NR
The Forks Plt,2013,NR,36,NR
The Forks Plt,2014,NR,35,NR
The Forks Plt,2015,NR,35,NR
The Forks Plt,2016,NR,35,NR
The Forks Plt,2017,NR,35,NR
The Forks Plt,2018,NR,35,NR
Topsfield,2008,NR,220,NR
Topsfield,2010,NR,237,NR
Unity Twp,2008,NR,31,NR
Unity Twp,2009,NR,40,NR
Unity Twp,2010,NR,43,NR
Unity Twp,2011,NR,43,NR
Unity Twp,2012,NR,40,NR
Unity Twp,2013,NR,43,NR
Unity Twp,2014,NR,43,NR
Unity Twp,2015,NR,43,NR
Unity Twp,2016,NR,43,NR
Unity Twp,2017,NR,43,NR
Unity Twp,2018,NR,43,NR
Van Buren,2008,NR,"2,372",NR
Van Buren,2009,NR,"2,270",NR
Van Buren,2010,NR,"2,171",NR
Van Buren,2011,NR,"2,095",NR
Van Buren,2012,NR,"2,070",NR
Van Buren,2013,NR,"2,047",NR
Van Buren,2015,NR,"1,978",NR
Vanceboro,2008,NR,140,NR
Vanceboro,2010,NR,140,NR
Veazie,2009,NR,"1,921",NR
Wade,2008,NR,237,NR
Wade,2009,NR,264,NR
Wade,2010,NR,283,NR
Wade,2011,NR,278,NR
Wade,2012,NR,277,NR
Wade,2013,NR,273,NR
Wade,2015,NR,263,NR
Waite,2008,NR,100,NR
Waite,2010,NR,101,NR
Wallagrass,2008,NR,553,NR
Wallagrass,2009,NR,552,NR
Wallagrass,2010,NR,546,NR
Wallagrass,2011,NR,564,NR
Wallagrass,2012,NR,561,NR
Wallagrass,2013,NR,555,NR
Wallagrass,2015,NR,574,NR
Washburn,2008,NR,"1,594",NR
Washburn,2009,NR,"1,656",NR
Washburn,2010,NR,"1,687",NR
Washburn,2011,NR,"1,654",NR
Washburn,2012,NR,"1,657",NR
Washburn,2013,NR,"1,631",NR
Washburn,2015,NR,"1,614",NR
Webster Plt,2009,NR,84,NR
Wellington,2008,NR,238,NR
Wellington,2009,NR,253,NR
Wellington,2010,NR,260,NR
Wellington,2011,NR,258,NR
Wellington,2012,NR,255,NR
Wellington,2013,NR,251,NR
Wellington,2014,NR,248,NR
Wellington,2015,NR,246,NR
Wesley,2008,NR,105,NR
Wesley,2010,NR,98,NR
West Central Franklin,2008,NR,0,NR
West Central Franklin,2009,NR,0,NR
West Central Franklin,2010,NR,0,NR
West Central Franklin,2011,NR,0,NR
West Central Franklin,2012,NR,0,NR
West Central Franklin,2013,NR,0,NR
West Central Franklin,2014,NR,0,NR
West Central Franklin,2015,NR,0,NR
West Central Franklin,2016,NR,0,NR
West Central Franklin,2017,NR,0,NR
West Central Franklin,2018,NR,0,NR
West Forks Plt,2008,NR,43,NR
Westfield,2008,NR,567,NR
Westfield,2009,NR,560,NR
Westfield,2010,NR,549,NR
Westfield,2011,NR,557,NR
Westfield,2012,NR,548,NR
Westfield,2013,NR,531,NR
Westfield,2015,NR,520,NR
Westmanland,2008,NR,70,NR
Westmanland,2009,NR,65,NR
Westmanland,2010,NR,62,NR
Westmanland,2011,NR,65,NR
Westmanland,2012,NR,64,NR
Westmanland,2013,NR,63,NR
Westmanland,2015,NR,62,NR
Weston,2008,NR,189,NR
Weston,2009,NR,212,NR
Weston,2010,NR,228,NR
Weston,2011,NR,232,NR
Weston,2012,NR,225,NR
Weston,2013,NR,216,NR
Weston,2015,NR,210,NR
Whiting,2008,NR,466,NR
Whiting,2010,NR,487,NR
Whitneyville,2008,NR,222,NR
Whitneyville,2010,NR,220,NR
Willimantic,2008,NR,127,NR
Willimantic,2009,NR,141,NR
Willimantic,2010,NR,150,NR
Willimantic,2011,NR,148,NR
Willimantic,2012,NR,145,NR
Willimantic,2013,NR,146,NR
Willimantic,2014,NR,148,NR
Willimantic,2015,NR,147,NR
Winn,2009,NR,414,NR
Winterville Plt,2008,NR,177,NR
Winterville Plt,2009,NR,205,NR
Winterville Plt,2010,NR,224,NR
Winterville Plt,2011,NR,240,NR
Winterville Plt,2012,NR,238,NR
Winterville Plt,2013,NR,233,NR
Winterville Plt,2015,NR,230,NR
Woodland,2008,NR,"1,358",NR
Woodland,2009,NR,"1,282",NR
Woodland,2010,NR,"1,213",NR
Woodland,2011,NR,"1,194",NR
Woodland,2012,NR,"1,195",NR
Woodland,2013,NR,"1,185",NR
Woodland,2015,NR,"1,171",NR
Woodville,2009,NR,265,NR
